Land 1;Land 2;Runde;Datum;Uhrzeit (MEZ);Einschaltquote (Deutschland);;;;;;
Brasilien;Kroatien;Gruppenphase;12.06.2014;22:00;25,2;;;;;;
Mexiko;Kamerun;Gruppenphase;13.06.2014;18:00;10,8;;;;;;
Spanien;Niederlande;Gruppenphase;13.06.2014;21:00;27,7;;;;;;
Chile;Australien;Gruppenphase;14.06.2014;18:00;10,5;;;;;;
Holland;Mexiko;Gruppenphase;14.06.2014;21:00;18,3;;;;;;
Deutschland;Portugal;Gruppenphase;15.06.2014;18:00;30,5;;;;;;
Ghana;USA;Gruppenphase;15.06.2014;21:00;15,2;;;;;;
Iran;Nigeria;Gruppenphase;16.06.2014;18:00;7,1;;;;;;
Bosnien;Argentinien;Gruppenphase;16.06.2014;21:00;16,5;;;;;;
Brasilien;Mexiko;Gruppenphase;17.06.2014;18:00;21,1;;;;;;
Kroatien;Kamerun;Gruppenphase;17.06.2014;21:00;11,9;;;;;;
Russland;Südkorea;Gruppenphase;18.06.2014;18:00;8,2;;;;;;
Belgien;Algerien;Gruppenphase;18.06.2014;21:00;15,8;;;;;;
Brasilien;Kroatien;Gruppenphase;19.06.2014;18:00;21,3;;;;;;
Spanien;Australien;Gruppenphase;19.06.2014;21:00;17,4;;;;;;
Honduras;Ecuador;Gruppenphase;20.06.2014;18:00;9,3;;;;;;
Frankreich;Schweiz;Gruppenphase;20.06.2014;21:00;16;;;;;;
Argentinien;Iran;Gruppenphase;21.06.2014;18:00;13,1;;;;;;
Deutschland;Ghana;Gruppenphase;21.06.2014;21:00;29;;;;;;
USA;Portugal;Gruppenphase;22.06.2014;18:00;22,7;;;;;;
Südafrika;Brasilien;Gruppenphase;22.06.2014;21:00;19,9;;;;;;
Nigeria;Argentinien;Gruppenphase;23.06.2014;18:00;12;;;;;;
Bosnien;Iran;Gruppenphase;23.06.2014;21:00;10,6;;;;;;
Portugal;Ghana;Gruppenphase;24.06.2014;18:00;16,2;;;;;;
USA;Deutschland;Gruppenphase;24.06.2014;22:00;32,4;;;;;;
Südkorea;Belgien;Gruppenphase;25.06.2014;18:00;10;;;;;;
Russland;Algerien;Gruppenphase;25.06.2014;22:00;12,4;;;;;;
Frankreich;Nigeria;Gruppenphase;26.06.2014;18:00;14,5;;;;;;
Deutschland;USA;Gruppenphase;26.06.2014;22:00;32,6;;;;;;
Brasilien;Chile;Achtelfinale;28.06.2014;18:00;25,7;;;;;;
Kolumbien;Uruguay;Achtelfinale;28.06.2014;22:00;16,1;;;;;;
Niederlande;Mexiko;Achtelfinale;29.06.2014;18:00;22,3;;;;;;
Costa Rica;Griechenland;Achtelfinale;29.06.2014;22:00;15,2;;;;;;
Frankreich;Nigeria;Achtelfinale;30.06.2014;18:00;14,5;;;;;;
Deutschland;Algerien;Achtelfinale;30.06.2014;22:00;32,8;;;;;;
Brasilien;Kolumbien;Viertelfinale;04.07.2014;18:00;26;;;;;;
Niederlande;Costa Rica;Viertelfinale;04.07.2014;22:00;17,2;;;;;;
Argentinien;Belgien;Viertelfinale;05.07.2014;22:00;19,1;;;;;;
Deutschland;Brasilien;Halbfinale;06.07.2014;22:00;36,7;;;;;;
Argentinien;Niederlande;Halbfinale;08.07.2014;22:00;19;;;;;;
Deutschland;Argentinien;Finale;12.07.2014;22:00;32,8;;;;;;
